Id,SalePrice
1461,107437.75829523243
1462,158871.12868428184
1463,176031.42264262238
1464,198283.19295522757
1465,219963.2401407184
1466,199181.31850578706
1467,166736.1731318778
1468,188800.04135071277
1469,199651.27703460283
1470,87687.85595405824
1471,204024.7281002605
1472,142249.87314501894
1473,125972.29264839692
1474,176312.0251360936
1475,157454.18781742733
1476,324089.000944254
1477,246750.83997251955
1478,278633.42220530915
1479,263652.0998416785
1480,345688.5645735441
1481,291303.2373852092
1482,233331.06193390768
1483,182794.2673664461
1484,194539.5243905962
1485,209130.3244288182
1486,233622.78073112597
1487,304588.61930444534
1488,248165.22635804652
1489,201068.6670906758
1490,192618.53953227424
1491,228574.19642368634
1492,94185.06108403299
1493,178388.28056710842
1494,293411.0769845075
1495,284435.0262289657
1496,216907.87322676554
1497,230006.90278120292
1498,197259.32889510924
1499,197259.32889510924
1500,176790.5454873289
1501,193039.0962969947
1502,188556.1745886181
1503,238670.86266238755
1504,262844.62258567056
1505,216148.24800588097
1506,197629.53233033814
1507,256489.57280645124
1508,207538.2964752689
1509,187141.33901387244
1510,132942.36419033632
1511,131373.2096082943
1512,152424.92823433317
1513,192396.6477632497
1514,164716.48053276283
1515,209562.14647164242
1516,169711.65465320507
1517,149288.16879922082
1518,154191.64727231814
1519,215845.81949369633
1520,123256.59235418309
1521,127554.71142673283
1522,176511.64169718605
1523,111502.17534403806
1524,114253.06164065679
1525,109525.22581739165
1526,112165.59411849757
1527,68901.89776873519
1528,146544.9885470227
1529,125956.0247815568
1530,165955.22426845785
1531,117181.19350303849
1532,89000.02855206816
1533,136141.78958583763
1534,143224.43122843932
1535,151007.5381782602
1536,110081.27924124105
1537,13130.166529035661
1538,191979.33943082904
1539,234710.05788956536
1540,173893.24838915025
1541,149905.33845448773
1542,150607.35349067883
1543,214144.4698717848
1544,56473.89724578033
1545,135622.0227041461
1546,140504.62672392628
1547,135629.63296116935
1548,159644.01810146007
1549,104355.5095868702
1550,135097.1042593615
1551,122995.5061598518
1552,132975.55127455085
1553,150882.90020845435
1554,138912.09639419895
1555,159551.8200779371
1556,107099.79037882155
1557,117528.91956901923
1558,121606.54762715963
1559,123523.98383831955
1560,134596.15972583764
1561,150951.98009871622
1562,109746.16602101969
1563,108868.41254759952
1564,148757.09403898753
1565,148165.50121091213
1566,202627.7101213266
1567,56892.40190535132
1568,213678.46657891152
1569,97393.55067813187
1570,137343.89337755344
1571,120091.30560829258
1572,122653.78743496304
1573,220853.65964685753
1574,136412.633929739
1575,204379.11285786796
1576,209210.26300840313
1577,201857.82437469414
1578,136841.99727863306
1579,130214.35126522486
1580,227211.7662835822
1581,124567.06624886463
1582,111752.1452346223
1583,273262.5396847236
1584,254910.7558622365
1585,149287.06825946784
1586,34829.98762809066
1587,110373.44722767803
1588,131518.81781881442
1589,92567.45630329242
1590,151751.3447215231
1591,86814.20669093705
1592,115625.75230650906
1593,116792.16771964217
1594,206759.3039296011
1595,144482.49968847958
1596,228387.9930332445
1597,189153.97691910155
1598,222934.01928817132
1599,201631.32601919258
1600,212342.5116444358
1601,2501.420777745545
1602,124623.72486816184
1603,54260.24202484358
1604,251128.39524847642
1605,266451.34054959845
1606,165678.22360910778
1607,217216.96043057693
1608,209285.09262533323
1609,200795.77064162493
1610,168056.30938873207
1611,134609.27494777483
1612,166068.65014711907
1613,157620.0723176892
1614,116975.86981571582
1615,102014.91952922428
1616,102014.91952922428
1617,103047.44119915948
1618,111099.43617512938
1619,115013.63842693763
1620,224620.25476995553
1621,148714.29777955962
1622,151342.50242412486
1623,256676.9725240434
1624,208869.14244708978
1625,127342.42883292167
1626,174294.8338313466
1627,198039.82856931072
1628,294070.89392484585
1629,222329.16226380202
1630,310892.7175905977
1631,236569.17937853793
1632,252485.76961288508
1633,206578.55231711408
1634,200466.3645476338
1635,190214.42773623997
1636,167457.10630363366
1637,186514.56018339214
1638,241827.0426092425
1639,192528.99177747592
1640,285363.18621883704
1641,194985.05981893302
1642,243408.36084782542
1643,264618.4495045005
1644,261352.85210188595
1645,164127.8913752332
1646,152599.5661318095
1647,181810.19589520968
1648,131459.7536925464
1649,123106.87993336376
1650,86459.8219333298
1651,86976.08276829729
1652,143282.39481495414
1653,142766.13397998642
1654,183104.90429922915
1655,172395.2684029576
1656,177344.5468060288
1657,184137.42596916435
1658,177860.8076409963
1659,157970.4486523948
1660,125301.2636169144
1661,352938.6404453793
1662,348376.7849097736
1663,302150.36885880004
1664,369693.7897278401
1665,282774.72097619437
1666,260406.87451620307
1667,312305.0518709752
1668,283252.2897620334
1669,267756.2562924067
1670,287686.85705910856
1671,234948.57092725113
1672,329041.88118144637
1673,302053.1150595811
1674,249431.9524279039
1675,185113.88718337775
1676,181566.23334571766
1677,209587.52113751788
1678,355728.21879112674
1679,288408.292607042
1680,292871.8895910734
1681,263671.9695426398
1682,254598.6649878791
1683,210729.01107399422
1684,215240.9624693268
1685,194119.47000205354
1686,199140.07197533082
1687,209130.3244288182
